                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94915,                 4.0235,                0.93587,                0.00333,                      1,                0.00872,                0.00537,                0.89224,                 3.8347,                0.92808,                 0.0001,                 0.0001,                 0.0001
                      2,                0.93569,                 3.3942,                0.86322,                0.00333,                      1,                 0.8789,                0.54007,                 0.9396,                 3.6043,                0.81655,             0.00021728,             0.00021728,             0.00021728
                      3,                 1.0249,                 2.7891,                0.87342,                0.00333,                      1,                  0.995,                0.59241,                  0.946,                 3.6226,                0.83334,             0.00033159,             0.00033159,             0.00033159
                      4,                 1.0034,                 2.1064,                0.86069,                0.00333,                      1,                0.99293,                0.62163,                0.91406,                 3.6077,                0.84328,             0.00044292,             0.00044292,             0.00044292
                      5,                0.98771,                 1.7549,                0.86507,                0.00333,                      1,                0.50925,                 0.3059,                0.86699,                 3.6651,                0.86659,             0.00055129,             0.00055129,             0.00055129
                      6,                 0.9768,                 1.4866,                0.89722,                0.00333,                      1,                 0.0106,                0.00776,                0.81436,                   3.66,                0.87358,             0.00065669,             0.00065669,             0.00065669
                      7,                0.95924,                 1.4908,                0.92207,                0.00333,                      1,                0.00987,                0.00738,                0.86505,                  3.675,                0.88364,             0.00075912,             0.00075912,             0.00075912
                      8,                0.92794,                 1.3159,                0.90563,                0.00333,                      1,                0.00993,                0.00745,                0.90092,                 3.6151,                0.87885,             0.00085857,             0.00085857,             0.00085857
                      9,                0.97239,                 1.3172,                0.90285,                0.00333,                      1,                0.00909,                0.00672,                0.91889,                 3.5589,                0.89068,             0.00095506,             0.00095506,             0.00095506
                     10,                0.92686,                 1.2634,                0.91429,                0.00333,                      1,                0.00858,                0.00646,                0.89014,                 3.5547,                0.86693,              0.0010486,              0.0010486,              0.0010486
                     11,                0.93862,                 1.2741,                0.91338,                0.00333,                      1,                0.00796,                0.00609,                0.85414,                 3.5418,                0.86588,              0.0011391,              0.0011391,              0.0011391
                     12,                0.93701,                 1.2216,                0.92614,                0.00333,                      1,                0.04815,                0.03769,                0.98385,                 3.4382,                0.90946,              0.0012267,              0.0012267,              0.0012267
                     13,                0.95155,                 1.2118,                0.93681,                0.00333,                      1,                0.01395,                0.01084,                0.88303,                  3.425,                0.88227,              0.0013113,              0.0013113,              0.0013113
                     14,                0.96502,                 1.2272,                0.93274,                0.00333,                      1,                0.07896,                0.06155,                0.90025,                 3.3466,                0.88635,              0.0013929,              0.0013929,              0.0013929
                     15,                0.94631,                 1.0537,                 0.9164,                0.00333,                      1,                0.19445,                0.13704,                 1.0104,                 3.2835,                0.90956,              0.0014716,              0.0014716,              0.0014716
                     16,                0.98379,                 1.1484,                0.93909,                0.00333,                      1,                0.79647,                0.59565,                0.94679,                 3.1493,                0.89697,              0.0015473,              0.0015473,              0.0015473
                     17,                0.93016,                 1.0937,                 0.9313,                0.91805,                0.96296,                0.98914,                0.73343,                0.96182,                 2.8845,                0.91272,               0.001604,               0.001604,               0.001604
                     18,                0.88676,                 1.0114,                0.91663,                      1,                0.47104,                  0.995,                0.71413,                0.96993,                  2.621,                0.91058,              0.0015793,              0.0015793,              0.0015793
                     19,                0.88152,                 1.0727,                0.90279,                      1,                0.72508,                  0.995,                0.71976,                0.96667,                 2.5859,                0.90652,              0.0015545,              0.0015545,              0.0015545
                     20,                0.96107,                 1.0243,                 0.9094,                0.99958,                      1,                  0.995,                0.69539,                 1.0575,                 1.9987,                0.94976,              0.0015298,              0.0015298,              0.0015298
                     21,                0.97284,                0.95496,                0.93325,                0.99483,                      1,                  0.995,                0.71262,                 1.0377,                 1.8025,                0.94387,               0.001505,               0.001505,               0.001505
                     22,                0.91941,                 1.0584,                0.94979,                 0.9833,                      1,                  0.995,                0.73233,                0.98777,                 1.8877,                0.94223,              0.0014803,              0.0014803,              0.0014803
                     23,                0.95427,                 1.0189,                0.94873,                0.98029,                      1,                  0.995,                0.72762,                 1.0241,                  1.997,                0.96629,              0.0014555,              0.0014555,              0.0014555
                     24,                0.92591,                 1.0503,                0.96766,                0.99394,                      1,                  0.995,                0.75457,                0.92793,                 1.6963,                0.96776,              0.0014307,              0.0014307,              0.0014307
                     25,                0.96647,                0.91183,                0.96829,                0.99152,                      1,                  0.995,                0.76243,                0.93166,                 1.5562,                0.96528,               0.001406,               0.001406,               0.001406
                     26,                0.89833,                0.90345,                0.92792,                0.99289,                      1,                  0.995,                0.75589,                0.95494,                 1.3581,                0.93212,              0.0013813,              0.0013813,              0.0013813
                     27,                0.94119,                0.93915,                0.94164,                0.99732,                      1,                  0.995,                0.75747,                0.97285,                 1.0905,                0.94465,              0.0013565,              0.0013565,              0.0013565
                     28,                0.91352,                 0.9153,                0.92429,                 0.9969,                      1,                  0.995,                0.72512,                 1.0191,                 1.2027,                0.93276,              0.0013318,              0.0013318,              0.0013318
                     29,                0.85863,                0.84274,                0.89777,                 0.9962,                      1,                  0.995,                0.72835,                0.97747,                 1.2368,                0.91738,               0.001307,               0.001307,               0.001307
                     30,                0.81157,                0.83307,                0.92417,                0.99622,                      1,                  0.995,                0.72963,                0.96362,                 1.0707,                0.93191,              0.0012822,              0.0012822,              0.0012822
                     31,                0.89966,                0.83937,                0.95824,                0.99557,                      1,                  0.995,                 0.7365,                0.94813,                 1.0465,                0.93307,              0.0012575,              0.0012575,              0.0012575
                     32,                0.83487,                0.80783,                0.92326,                 0.9975,                      1,                  0.995,                0.77138,                0.94102,                0.91327,                0.95752,              0.0012328,              0.0012328,              0.0012328
                     33,                0.89881,                0.81228,                0.93161,                 0.9974,                      1,                  0.995,                0.78231,                0.94883,                0.91517,                 0.9698,               0.001208,               0.001208,               0.001208
                     34,                0.84992,                0.76152,                0.91122,                0.99731,                      1,                  0.995,                0.76928,                 0.9495,                0.92109,                0.94644,              0.0011833,              0.0011833,              0.0011833
                     35,                0.85606,                0.74295,                0.89498,                0.99767,                      1,                  0.995,                0.75688,                0.94298,                0.87362,                0.94636,              0.0011585,              0.0011585,              0.0011585
                     36,                0.83243,                0.76091,                0.91024,                0.99781,                      1,                  0.995,                0.73769,                0.94163,                0.84103,                0.95129,              0.0011337,              0.0011337,              0.0011337
                     37,                0.84852,                0.73405,                0.90931,                0.99781,                      1,                  0.995,                0.74615,                0.94474,                0.78268,                0.96654,               0.001109,               0.001109,               0.001109
                     38,                0.81919,                0.72942,                0.91305,                0.99794,                      1,                  0.995,                0.74492,                0.90156,                0.73046,                0.95268,              0.0010842,              0.0010842,              0.0010842
                     39,                0.83332,                0.68578,                0.90406,                0.99791,                      1,                  0.995,                0.75267,                0.89993,                0.70957,                0.95047,              0.0010595,              0.0010595,              0.0010595
                     40,                0.82728,                0.70316,                0.91503,                 0.9979,                      1,                  0.995,                 0.7593,                0.92154,                0.68364,                0.95832,              0.0010347,              0.0010347,              0.0010347
                     41,                0.81473,                 0.6624,                0.90137,                0.99771,                      1,                  0.995,                0.75432,                0.89393,                0.68573,                0.93879,                0.00101,                0.00101,                0.00101
                     42,                 0.8566,                0.67018,                0.91203,                0.99779,                      1,                  0.995,                0.75383,                 0.8843,                0.66098,                0.93341,             0.00098525,             0.00098525,             0.00098525
                     43,                0.80048,                0.64636,                0.90028,                0.99787,                      1,                  0.995,                0.77844,                0.84473,                0.67144,                0.92725,              0.0009605,              0.0009605,              0.0009605
                     44,                0.81468,                0.66376,                0.90909,                0.99779,                      1,                  0.995,                0.76947,                0.91639,                0.68216,                0.94793,             0.00093575,             0.00093575,             0.00093575
                     45,                0.86858,                0.67377,                0.90827,                0.99761,                      1,                  0.995,                0.77502,                0.89716,                0.67757,                0.94005,               0.000911,               0.000911,               0.000911
                     46,                0.80926,                0.65798,                0.90522,                 0.9975,                      1,                  0.995,                0.77986,                0.84105,                0.67898,                0.92662,             0.00088625,             0.00088625,             0.00088625
                     47,                0.76781,                0.65278,                0.90343,                0.99752,                      1,                  0.995,                 0.7674,                0.84663,                0.68389,                0.92875,              0.0008615,              0.0008615,              0.0008615
                     48,                0.73536,                 0.6117,                0.88734,                0.99776,                      1,                  0.995,                0.76949,                0.86655,                0.64361,                0.94537,             0.00083675,             0.00083675,             0.00083675
                     49,                0.79445,                0.63655,                0.91049,                0.99791,                      1,                  0.995,                0.76136,                0.88453,                0.62699,                0.95048,               0.000812,               0.000812,               0.000812
                     50,                0.83976,                0.61967,                0.91747,                0.99798,                      1,                  0.995,                0.77652,                0.88908,                0.63375,                0.94295,             0.00078725,             0.00078725,             0.00078725
                     51,                0.77536,                 0.5949,                0.88675,                0.99797,                      1,                  0.995,                0.77696,                0.88014,                0.62525,                0.93767,              0.0007625,              0.0007625,              0.0007625
                     52,                0.75661,                0.58886,                0.90873,                0.99783,                      1,                  0.995,                0.78869,                0.86425,                 0.6056,                0.93088,             0.00073775,             0.00073775,             0.00073775
                     53,                0.81497,                0.60491,                0.91644,                0.99793,                      1,                  0.995,                0.76808,                0.87728,                0.60639,                0.93302,               0.000713,               0.000713,               0.000713
                     54,                0.71967,                0.55915,                0.87511,                0.99789,                      1,                  0.995,                0.78722,                0.90434,                0.62377,                0.94028,             0.00068825,             0.00068825,             0.00068825
                     55,                0.74973,                0.59857,                0.89379,                0.99787,                      1,                  0.995,                0.78507,                0.89939,                0.63024,                0.93704,              0.0006635,              0.0006635,              0.0006635
                     56,                0.77093,                0.57569,                0.89102,                0.99786,                      1,                  0.995,                0.77186,                0.90865,                0.61635,                0.94195,             0.00063875,             0.00063875,             0.00063875
                     57,                0.73735,                0.57972,                0.87738,                0.99784,                      1,                  0.995,                0.76906,                0.90552,                0.60845,                0.93871,               0.000614,               0.000614,               0.000614
                     58,                0.74275,                0.54887,                0.86547,                0.99776,                      1,                  0.995,                0.79141,                0.88051,                0.59655,                0.93221,             0.00058925,             0.00058925,             0.00058925
                     59,                0.74751,                0.57804,                0.88661,                0.99776,                      1,                  0.995,                0.79031,                0.87973,                0.58926,                0.93659,              0.0005645,              0.0005645,              0.0005645
                     60,                0.73858,                0.53644,                0.87755,                0.99767,                      1,                  0.995,                0.77327,                0.90136,                0.59689,                0.94709,             0.00053975,             0.00053975,             0.00053975
                     61,                0.74285,                0.54315,                0.88977,                0.99775,                      1,                  0.995,                0.77375,                0.90251,                0.60677,                0.95027,               0.000515,               0.000515,               0.000515
                     62,                0.75402,                0.55794,                0.88853,                0.99789,                      1,                  0.995,                0.78507,                0.92833,                0.61451,                0.95418,             0.00049025,             0.00049025,             0.00049025
                     63,                0.73167,                0.52343,                0.88426,                0.99787,                      1,                  0.995,                0.77976,                0.91518,                0.59878,                0.95232,              0.0004655,              0.0004655,              0.0004655
                     64,                0.73593,                0.52157,                0.87586,                0.99788,                      1,                  0.995,                0.78363,                0.86889,                0.55852,                0.94605,             0.00044075,             0.00044075,             0.00044075
                     65,                 0.7621,                0.54611,                0.88547,                0.99788,                      1,                  0.995,                0.78743,                  0.866,                0.56375,                0.94371,               0.000416,               0.000416,               0.000416
                     66,                 0.7077,                0.51892,                0.88134,                0.99792,                      1,                  0.995,                  0.782,                0.84921,                0.56401,                0.93177,             0.00039125,             0.00039125,             0.00039125
                     67,                0.75039,                0.52475,                0.86871,                0.99796,                      1,                  0.995,                0.78411,                0.84738,                0.55526,                0.92937,              0.0003665,              0.0003665,              0.0003665
                     68,                0.73221,                0.52508,                0.87003,                0.99792,                      1,                  0.995,                0.78913,                0.82904,                0.55334,                 0.9214,             0.00034175,             0.00034175,             0.00034175
                     69,                0.71152,                0.51675,                0.87507,                0.99786,                      1,                  0.995,                0.78944,                0.82146,                0.55172,                0.91964,               0.000317,               0.000317,               0.000317
                     70,                0.69933,                0.51675,                0.87703,                0.99792,                      1,                  0.995,                0.80375,                0.82605,                0.54238,                0.92169,             0.00029225,             0.00029225,             0.00029225
